y,x
0.5097,0
0.5700,80
0.5376,160
0.5696,240
0.5909,320
0.6256,400
0.6059,480
0.6135,560
0.6533,640
0.6648,720
0.6838,800
0.6995,880
0.6850,960
0.7034,1040
0.7268,1120
0.7332,1200
0.7377,1280
0.7586,1360
0.6984,1440
0.7460,1520
0.7535,1600
0.7488,1680
0.6876,1760
0.7449,1840
0.7655,1920
0.7857,2000
0.7039,2080
0.6936,2160
0.7595,2240
0.7764,2320
0.7749,2400
0.7686,2480
0.7643,2560
0.7588,2640
0.7445,2720
0.7543,2800
0.7794,2880
0.7795,2960
0.7730,3040
0.7734,3120
0.7513,3200
0.7726,3280
0.7712,3360
0.7679,3440
0.7893,3520
0.7913,3600
0.8022,3680
0.8063,3760
0.7983,3840
0.7906,3920
0.7889,4000
0.7952,4080
0.7952,4160
0.7891,4240
0.7929,4320
0.7944,4400
0.7793,4480
0.7919,4560
0.7874,4640
0.7654,4720
0.7814,4800
0.7664,4880
0.7843,4960
0.7898,5040
0.7818,5120
0.7507,5200
0.8031,5280
0.7895,5360
0.8074,5440
0.8114,5520
0.8082,5600
0.8000,5680
0.8032,5760
0.8006,5840
0.8184,5920
0.8059,6000
0.8174,6080
0.8089,6160
0.7981,6240
0.8121,6320
0.8108,6400
0.8188,6480
0.8013,6560
0.8072,6640
0.7893,6720
0.8089,6800
0.8142,6880
0.8176,6960
0.7706,7040
0.7857,7120
0.8068,7200
0.8089,7280
0.8022,7360
0.8144,7440
0.8077,7520
0.8169,7600
0.8129,7680
0.8027,7760
0.8095,7840
0.8186,7920
0.8141,8000
0.8138,8080
0.8102,8160
0.8037,8240
0.7686,8320
0.8011,8400
0.8190,8480
0.7305,8560
0.8308,8640
0.8113,8720
0.8281,8800
0.8241,8880
0.8172,8960
0.8222,9040
0.8229,9120
0.8212,9200
0.8244,9280
0.8237,9360
0.8323,9440
0.8087,9520
0.8287,9600
0.8032,9680
0.8174,9760
0.8175,9840
0.8129,9920
0.8111,10000
